datetime,value
2020-01-30 09:00,1.747
2020-01-30 09:15,1.744
2020-01-30 09:30,1.743
2020-01-30 09:45,1.739
2020-01-30 10:00,1.736
2020-01-30 10:15,1.734
2020-01-30 10:30,1.733
2020-01-30 10:45,1.728
2020-01-30 11:00,1.728
2020-01-30 11:15,1.719
2020-01-30 11:30,1.716
2020-01-30 11:45,1.713
2020-01-30 12:00,1.708
2020-01-30 12:15,1.707
2020-01-30 12:30,1.702
2020-01-30 12:45,1.698
2020-01-30 13:00,1.700
2020-01-30 13:15,1.698
2020-01-30 13:30,1.700
2020-01-30 13:45,1.699
2020-01-30 14:00,1.701
2020-01-30 14:15,1.703
2020-01-30 14:30,1.708
2020-01-30 14:45,1.711
2020-01-30 15:00,1.712
2020-01-30 15:15,1.721
2020-01-30 15:30,1.727
2020-01-30 15:45,1.730
2020-01-30 16:00,1.730
2020-01-30 16:15,1.729
2020-01-30 16:30,1.729
2020-01-30 16:45,1.729
2020-01-30 17:00,1.730
2020-01-30 17:15,1.732
2020-01-30 17:30,1.734
2020-01-30 17:45,1.734
2020-01-30 18:00,1.736
2020-01-30 18:15,1.737
2020-01-30 18:30,1.735
2020-01-30 18:45,1.739
2020-01-30 19:00,1.740
2020-01-30 19:15,1.741
2020-01-30 19:30,1.742
2020-01-30 19:45,1.744
2020-01-30 20:00,1.745
2020-01-30 20:15,1.747
2020-01-30 20:30,1.747
2020-01-30 20:45,1.745
2020-01-30 21:00,1.745
2020-01-30 21:15,1.744
2020-01-30 21:30,1.745
2020-01-30 21:45,1.746
2020-01-30 22:00,1.746
2020-01-30 22:15,1.748
2020-01-30 22:30,1.747
2020-01-30 22:45,1.747
2020-01-30 23:00,1.745
2020-01-30 23:15,1.744
2020-01-30 23:30,1.744
2020-01-30 23:45,1.741
2020-01-31 00:00,1.739
2020-01-31 00:15,1.736
2020-01-31 00:30,1.733
2020-01-31 00:45,1.731
2020-01-31 01:00,1.731
2020-01-31 01:15,1.728
2020-01-31 01:30,1.729
2020-01-31 01:45,1.729
2020-01-31 02:00,1.729
2020-01-31 02:15,1.729
2020-01-31 02:30,1.728
2020-01-31 02:45,1.728
2020-01-31 03:00,1.728
2020-01-31 03:15,1.731
2020-01-31 03:30,1.733
2020-01-31 03:45,1.735
2020-01-31 04:00,1.734
2020-01-31 04:15,1.736
2020-01-31 04:30,1.736
2020-01-31 04:45,1.736
2020-01-31 05:00,1.737
2020-01-31 05:15,1.735
2020-01-31 05:30,1.734
2020-01-31 05:45,1.732
2020-01-31 06:00,1.733
2020-01-31 06:15,1.732
2020-01-31 06:30,1.731
2020-01-31 06:45,1.733
2020-01-31 07:00,1.735
2020-01-31 07:15,1.735
2020-01-31 07:30,1.733
2020-01-31 07:45,1.735
2020-01-31 08:00,1.733
2020-01-31 08:15,1.732
2020-01-31 08:30,1.728
2020-01-31 08:45,1.728
2020-01-31 09:00,1.726
2020-01-31 09:15,1.727
2020-01-31 09:30,1.727
2020-01-31 09:45,1.723
2020-01-31 10:00,1.717
2020-01-31 10:15,1.714
2020-01-31 10:30,1.709
2020-01-31 10:45,1.713
2020-01-31 11:00,1.710
2020-01-31 11:15,1.711
2020-01-31 11:30,1.714
2020-01-31 11:45,1.715
2020-01-31 12:00,1.716
2020-01-31 12:15,1.720
2020-01-31 12:30,1.724
2020-01-31 12:45,1.726
2020-01-31 13:00,1.728
2020-01-31 13:15,1.723
2020-01-31 13:30,1.724
2020-01-31 13:45,1.722
2020-01-31 14:00,1.723
2020-01-31 14:15,1.725
2020-01-31 14:30,1.726
2020-01-31 14:45,1.726
2020-01-31 15:00,1.728
2020-01-31 15:15,1.733
2020-01-31 15:30,1.734
2020-01-31 15:45,1.734
2020-01-31 16:00,1.734
2020-01-31 16:15,1.731
2020-01-31 16:30,1.726
2020-01-31 16:45,1.730
2020-01-31 17:00,1.728
2020-01-31 17:15,1.734
2020-01-31 17:30,1.732
2020-01-31 17:45,1.730
2020-01-31 18:00,1.727
2020-01-31 18:15,1.730
2020-01-31 18:30,1.737
2020-01-31 18:45,1.743
2020-01-31 19:00,1.743
2020-01-31 19:15,1.736
2020-01-31 19:30,1.730
2020-01-31 19:45,1.741
2020-01-31 20:00,1.745
2020-01-31 20:15,1.739
2020-01-31 20:30,1.749
2020-01-31 20:45,1.751
2020-01-31 21:00,1.742
2020-01-31 21:15,1.742
2020-01-31 21:30,1.742
2020-01-31 21:45,1.747
2020-01-31 22:00,1.751
2020-01-31 22:15,1.753
2020-01-31 22:30,1.752
2020-01-31 22:45,1.755
2020-01-31 23:00,1.756
2020-01-31 23:15,1.756
2020-01-31 23:30,1.758
2020-01-31 23:45,1.758
2020-02-01 00:00,1.753
2020-02-01 00:15,1.749
2020-02-01 00:30,1.747
2020-02-01 00:45,1.752
2020-02-01 01:00,1.762
2020-02-01 01:15,1.766
2020-02-01 01:30,1.765
2020-02-01 01:45,1.769
2020-02-01 02:00,1.765
2020-02-01 02:15,1.772
2020-02-01 02:30,1.771
2020-02-01 02:45,1.777
2020-02-01 03:00,1.775
2020-02-01 03:15,1.777
2020-02-01 03:30,1.785
2020-02-01 03:45,1.795
2020-02-01 04:00,1.794
2020-02-01 04:15,1.798
2020-02-01 04:30,1.795
2020-02-01 04:45,1.793
2020-02-01 05:00,1.802
2020-02-01 05:15,1.808
2020-02-01 05:30,1.807
2020-02-01 05:45,1.812
2020-02-01 06:00,1.813
2020-02-01 06:15,1.813
2020-02-01 06:30,1.815
2020-02-01 06:45,1.815
2020-02-01 07:00,1.817
2020-02-01 07:15,1.815
2020-02-01 07:30,1.820
2020-02-01 07:45,1.818
2020-02-01 08:00,1.821
2020-02-01 08:15,1.820
2020-02-01 08:30,1.827
2020-02-01 08:45,1.820
2020-02-01 09:00,1.821
2020-02-01 09:15,1.817
2020-02-01 09:30,1.810
2020-02-01 09:45,1.802
2020-02-01 10:00,1.794
2020-02-01 10:15,1.788
2020-02-01 10:30,1.792
2020-02-01 10:45,1.790
2020-02-01 11:00,1.793
2020-02-01 11:15,1.807
2020-02-01 11:30,1.811
2020-02-01 11:45,1.821
2020-02-01 12:00,1.827
2020-02-01 12:15,1.838
2020-02-01 12:30,1.846
2020-02-01 12:45,1.854
2020-02-01 13:00,1.860
2020-02-01 13:15,1.859
2020-02-01 13:30,1.861
2020-02-01 13:45,1.861
2020-02-01 14:00,1.860
2020-02-01 14:15,1.858
2020-02-01 14:30,1.863
2020-02-01 14:45,1.866
2020-02-01 15:00,1.868
2020-02-01 15:15,1.869
2020-02-01 15:30,1.871
2020-02-01 15:45,1.873
2020-02-01 16:00,1.874
2020-02-01 16:15,1.876
2020-02-01 16:30,1.877
2020-02-01 16:45,1.881
2020-02-01 17:00,1.882
2020-02-01 17:15,1.883
2020-02-01 17:30,1.886
2020-02-01 17:45,1.889
2020-02-01 18:00,1.889
2020-02-01 18:15,1.890
2020-02-01 18:30,1.891
2020-02-01 18:45,1.891
2020-02-01 19:00,1.894
2020-02-01 19:15,1.895
2020-02-01 19:30,1.896
2020-02-01 19:45,1.895
2020-02-01 20:00,1.897
2020-02-01 20:15,1.896
2020-02-01 20:30,1.897
2020-02-01 20:45,1.898
2020-02-01 21:00,1.898
2020-02-01 21:15,1.897
2020-02-01 21:30,1.897
2020-02-01 21:45,1.899
2020-02-01 22:00,1.898
2020-02-01 22:15,1.900
2020-02-01 22:30,1.899
2020-02-01 22:45,1.900
2020-02-01 23:00,1.899
2020-02-01 23:15,1.899
2020-02-01 23:30,1.900
2020-02-01 23:45,1.901
2020-02-02 00:00,1.901
2020-02-02 00:15,1.902
2020-02-02 00:30,1.903
2020-02-02 00:45,1.903
2020-02-02 01:00,1.904
2020-02-02 01:15,1.905
2020-02-02 01:30,1.905
2020-02-02 01:45,1.905
2020-02-02 02:00,1.906
2020-02-02 02:15,1.905
2020-02-02 02:30,1.907
2020-02-02 02:45,1.908
2020-02-02 03:00,1.907
2020-02-02 03:15,1.908
2020-02-02 03:30,1.906
2020-02-02 03:45,1.907
2020-02-02 04:00,1.906
2020-02-02 04:15,1.906
2020-02-02 04:30,1.906
2020-02-02 04:45,1.905
2020-02-02 05:00,1.905
2020-02-02 05:15,1.904
2020-02-02 05:30,1.904
2020-02-02 05:45,1.900
2020-02-02 06:00,1.897
2020-02-02 06:15,1.896
2020-02-02 06:30,1.895
2020-02-02 06:45,1.897
2020-02-02 07:00,1.899
2020-02-02 07:15,1.900
2020-02-02 07:30,1.903
2020-02-02 07:45,1.899
2020-02-02 08:00,1.899
2020-02-02 08:15,1.897
2020-02-02 08:30,1.895
2020-02-02 08:45,1.894
2020-02-02 09:00,1.897
2020-02-02 09:15,1.900
2020-02-02 09:30,1.901
2020-02-02 09:45,1.899
2020-02-02 10:00,1.896
2020-02-02 10:15,1.896
2020-02-02 10:30,1.899
2020-02-02 10:45,1.897
2020-02-02 11:00,1.891
2020-02-02 11:15,1.871
2020-02-02 11:30,1.869
2020-02-02 11:45,1.865
2020-02-02 12:00,1.862
2020-02-02 12:15,1.862
2020-02-02 12:30,1.863
2020-02-02 12:45,1.861
2020-02-02 13:00,1.859
2020-02-02 13:15,1.866
2020-02-02 13:30,1.870
2020-02-02 13:45,1.863
2020-02-02 14:00,1.871
2020-02-02 14:15,1.870
2020-02-02 14:30,1.860
2020-02-02 14:45,1.873
2020-02-02 15:00,1.873
2020-02-02 15:15,1.872
2020-02-02 15:30,1.871
2020-02-02 15:45,1.875
2020-02-02 16:00,1.873
2020-02-02 16:15,1.870
2020-02-02 16:30,1.875
2020-02-02 16:45,1.874
2020-02-02 17:00,1.879
2020-02-02 17:15,1.879
2020-02-02 17:30,1.879
2020-02-02 17:45,1.874
2020-02-02 18:00,1.870
2020-02-02 18:15,1.867
2020-02-02 18:30,1.874
2020-02-02 18:45,1.863
2020-02-02 19:00,1.863
2020-02-02 19:15,1.863
2020-02-02 19:30,1.867
2020-02-02 19:45,1.866
2020-02-02 20:00,1.867
2020-02-02 20:15,1.869
2020-02-02 20:30,1.869
2020-02-02 20:45,1.870
2020-02-02 21:00,1.871
2020-02-02 21:15,1.877
2020-02-02 21:30,1.878
2020-02-02 21:45,1.886
2020-02-02 22:00,1.894
2020-02-02 22:15,1.896
2020-02-02 22:30,1.905
2020-02-02 22:45,1.904
2020-02-02 23:00,1.896
2020-02-02 23:15,1.889
2020-02-02 23:30,1.898
2020-02-02 23:45,1.906
2020-02-03 00:00,1.912
2020-02-03 00:15,1.917
2020-02-03 00:30,1.920
2020-02-03 00:45,1.920
2020-02-03 01:00,1.922
2020-02-03 01:15,1.921
2020-02-03 01:30,1.924
2020-02-03 01:45,1.918
2020-02-03 02:00,1.908
2020-02-03 02:15,1.919
2020-02-03 02:30,1.923
2020-02-03 02:45,1.922
2020-02-03 03:00,1.920
2020-02-03 03:15,1.917
2020-02-03 03:30,1.918
2020-02-03 03:45,1.923
2020-02-03 04:00,1.923
2020-02-03 04:15,1.922
2020-02-03 04:30,1.920
2020-02-03 04:45,1.920
2020-02-03 05:00,1.911
2020-02-03 05:15,1.920
2020-02-03 05:30,1.927
2020-02-03 05:45,1.924
2020-02-03 06:00,1.922
2020-02-03 06:15,1.929
2020-02-03 06:30,1.933
2020-02-03 06:45,1.935
2020-02-03 07:00,1.936
2020-02-03 07:15,1.931
2020-02-03 07:30,1.933
2020-02-03 07:45,1.934
2020-02-03 08:00,1.930
2020-02-03 08:15,1.934
2020-02-03 08:30,1.936
2020-02-03 08:45,1.941
2020-02-03 09:00,1.942
2020-02-03 09:15,1.942
2020-02-03 09:30,1.938
2020-02-03 09:45,1.939
2020-02-03 10:00,1.938
2020-02-03 10:15,1.935
2020-02-03 10:30,1.937
2020-02-03 10:45,1.938
2020-02-03 11:00,1.939
2020-02-03 11:15,1.940
2020-02-03 11:30,1.937
2020-02-03 11:45,1.933
2020-02-03 12:00,1.930
2020-02-03 12:15,1.933
2020-02-03 12:30,1.928
2020-02-03 12:45,1.929
2020-02-03 13:00,1.920
2020-02-03 13:15,1.924
2020-02-03 13:30,1.921
2020-02-03 13:45,1.917
2020-02-03 14:00,1.917
2020-02-03 14:15,1.909
2020-02-03 14:30,1.917
2020-02-03 14:45,1.914
2020-02-03 15:00,1.919
2020-02-03 15:15,1.918
2020-02-03 15:30,1.915
2020-02-03 15:45,1.914
2020-02-03 16:00,1.914
2020-02-03 16:15,1.914
2020-02-03 16:30,1.921
2020-02-03 16:45,1.925
2020-02-03 17:00,1.920
